brand,product_id,product_title,current_pa_origin,proposed_pa_origin,current_custom_origin,proposed_custom_origin,actions,reasons,has_structured_description,structured_description_would_change,faq_would_change
Freeman,37230,"Freeman Revitalizing Pomegranate Peel Off Gel Mask 175ml",usa,usa,Korea,USA,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_usa,yes,yes,yes
Freeman,37236,"FREEMAN Beauty Facial Exfoliating Scrub Pink Grapefruit 175ml",usa,usa,Korea,USA,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_usa,yes,yes,yes
Freeman,37242,"Freeman Feeling Beautiful Sugar Body Scrub 175ml",usa,usa,Korea,USA,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_usa,yes,yes,yes
Freeman,37248,"Freeman Soothing Watermelon + Aloe Cooling Gel Mask 175ml",usa,usa,Korea,USA,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_usa,yes,yes,yes
Freeman,37254,"Freeman 4-in-1 Apple Cider Vinegar Foaming Clay Mask 175ml",usa,usa,Korea,USA,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_usa,yes,yes,yes
Garnier,37329,"Garnier micellar water Skin Naturals 3in1 Sensitive 400ml",france,france,Korea,France,sync_custom_origin,custom_origin_south-korea_vs_france,yes,no,no
Garnier,51372,"Garnier Fructis Triple Nutrition Conditioner Dry to Very Dry Hair 354ml",france,france,Korea,France,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_france,yes,no,yes
Garnier,51379,"Garnier Whole Blends Coconut Water &#038; Aloe Vera Refreshing Conditioner for Normal Hair 370ml",france,france,Korea,France,sync_custom_origin,custom_origin_south-korea_vs_france,yes,no,no
Garnier,51387,"Garnier Fructis Pure Clean Aloe Extract Fortifying Conditioner 354ml",france,france,Korea,France,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_france,yes,no,yes
Garnier,61840,"Garnier Ultimate Blends Plumping Watermelon Hair Food + Vitamin C, E, F Multi-Use Mask 400ml",france,france,Korea,France,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_france,yes,no,yes
Garnier,61842,"Garnier Ultimate Blends Curl Restoring Cocoa Butter Hair Food + Vitamin C,E,F Multi-Use Mask 400ml",france,france,Korea,France,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_france,yes,no,yes
Garnier,62448,"Garnier Skin Active Micellar Cleansing Water 100ml",france,france,Korea,France,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_france,yes,no,yes
Garnier,62835,"Garnier Papaya Hair Food 3-in-1 Hair Treatment Mask 400ml",france,france,Korea,France,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_france,yes,no,yes
Garnier,62837,"Garnier Ultimate Blends Hair Food Banana 3-in-1 Dry Hair Mask Treatment 400ml",france,france,Korea,France,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_france,yes,no,yes
Gfors,74470,"GFORS Melasma Treatment Cream 50gm",bangladesh,south-korea,Korea,"South Korea",set_pa_origin,owner_brand_override,yes,no,no
Gfors,74472,"GFORS Intense Care All In One Snail Cream 50ml",bangladesh,south-korea,Korea,"South Korea",set_pa_origin,owner_brand_override,yes,no,no
Gfors,74474,"GFORS Salicylic Acid Deep Cleansing Foam 150ml",bangladesh,south-korea,Korea,"South Korea",set_pa_origin,owner_brand_override,yes,no,no
Gillette,37962,"Palmolive For Men Classic Palm Extract Shave Cream 100ml",usa,usa,Korea,USA,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_usa,yes,yes,yes
Gillette,74476,"Gillette Venus Oceana Women’s Disposable Razors (3s)",usa,usa,Korea,USA,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_usa,yes,yes,yes
Gillette,74478,"Gillette Venus Treasures 3 Blades Disposable 1pcs Razor",usa,usa,Korea,USA,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_usa,yes,yes,yes
Gillette,74480,"Gillette Venus Treasures 3 Blades Disposable 3in1 Razor",usa,usa,Korea,USA,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_usa,yes,yes,yes
Gillette,74482,"Gillette Venus Razor with Aloe Extract for Women",usa,usa,Korea,USA,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_usa,yes,yes,yes
"Good Molecules",63111,"Good Molecules Good Molecules Discoloration Correcting Serum 30ml",usa,usa,Korea,USA,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_usa,yes,yes,yes
"Good Molecules",74484,"Good Molecules Niacinamide Brightening Toner 30ml",usa,usa,Korea,USA,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_usa,yes,yes,yes
Groome,74486,"Groome Groome Eyebrow and Facial Razor (Pack of 2pcs)",thailand,thailand,Korea,Thailand,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_thailand,yes,yes,yes
Groome,74488,"Groome Eyebrow &#038; Facial Razor Scarlet Edge ( 2pcs)",thailand,thailand,Korea,Thailand,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_thailand,yes,yes,yes
Groome,74490,"Groome Makeup Blender Sponge (Yellow)",thailand,thailand,Korea,Thailand,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_thailand,yes,yes,yes
H&amp;C,63029,"Tretinoin Tretin 0.025% Cream 30g",india,india,Korea,India,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_india,yes,yes,yes
HARADA,58444,"HARADA Shizuoka Matcha Powder 100g",japan,japan,Korea,Japan,sync_custom_origin|sync_structured_description,custom_origin_south-korea_vs_japan,yes,yes,no
"Hada Labo",62945,"HadaLabo koi-Gokujyun Perfect Gel (Moisturiser) 100g",japan,japan,Korea,Japan,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_japan,yes,yes,yes
"Hada Labo",62949,"Hadalabo Gokujyun Aging Care (Anti Aging) Lotion 170ml",japan,japan,Korea,Japan,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_japan,yes,yes,yes
"Hada Labo",62957,"Hadalabo Gokujyun Hydrataning Hyaluronic Cleansing Foam 100gm",japan,japan,Korea,Japan,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_japan,yes,yes,yes
Handaiyan,74494,"HANDAIYAN Non-Sticky Matte Finish Liquid Lipstick 12pcs Set",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
Handaiyan,74496,"Handaiyan Thanks For The Love Lip Set 12pcs",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
Hawaa,74498,"Hawaa Hair Fall Avenger Oil 100ml",bangladesh,bangladesh,Korea,Bangladesh,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_bangladesh,yes,yes,yes
"Herbal Essences",74500,"Herbal Essences Shampoo Love Me Longer Pomegranate Red Berries Scent 400ml",usa,usa,Korea,USA,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_usa,yes,yes,yes
"Herbal Essences",74502,"Herbal Essences Daily Detox Clean Shampoo 400ml",usa,usa,Korea,USA,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_usa,yes,yes,yes
"Herbal Essences",74504,"Herbal Essences Coconut Extract Hello Hydration Shampoo 400ml",usa,usa,Korea,USA,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_usa,yes,yes,yes
"Herbal Essences",74506,"Herbal Essences Daily Detox Shine Shampoo 400ml",usa,usa,Korea,USA,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_usa,yes,yes,yes
"Hojo Luminous",74508,"Hojo Luminous High Sparkling Highlighter 03 10g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
"Hojo Luminous",74510,"Hojo Luminius High Sparkling Highlighter 02 10g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
Imagic,74524,"imagic pore eraser primer 30ml",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
Imagic,74526,"IMAGIC Liquid Waterproof Eyeliner Pen (EY-306) 2.5g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
Imagic,74528,"IMAGIC Studio Fix Powder Plus Foundation (FA-103) 15g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
Imagic,74530,"IMAGIC PROfessional Cosmetics Makeup Sponge Burgundy",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
Imagic,74532,"IMAGIC PROfessional Cosmetics Makeup Sponge Pink",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
Imagic,74534,"Imagic Waterproof Matte Lipstick 804-Nude 4g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
Imagic,74536,"Imagic Waterproof Matte Lipstick 802-Coral 4g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
Imagic,74538,"Imagic Waterproof Matte Lipstick 806- Dusty 4g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
Imagic,74540,"Imagic Waterproof Matte Lipstick 811-Raspberry 4g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
Imagic,74542,"Imagic Tinted Eyebrow Pomade E06 EBONY 4g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
Imagic,74544,"IMAGIC Giant Brush Perfect Mascara EY-307 8g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
Imagic,74546,"Imagic Eye Lash Curler",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
Imagic,74548,"IMAGIC 48 Colors Eyeshadow Palette",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
Imagic,74550,"IMAGIC Chalice 36 Color Eyeshadow Palette",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
Imagic,74551,"IMAGIC 48 Colors Eyeshadow Palette",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
Imagic,74553,"IMAGIC Matte Finish Long Wearing Foundation (1391) Cool porcelain",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
Imagic,74555,"IMAGIC FULL COVERAGE FOUNDATION (1212) &#8211; Slightly Pink",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
Innsaei,74070,"Innsaei Smooth and Silky Hair Serum 50ml",bangladesh,bangladesh,Korea,Bangladesh,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_bangladesh,yes,yes,yes
Innsaei,74072,"Innsaei Niacinamide Body Lotion with Vitamin E 300ml",bangladesh,bangladesh,Korea,Bangladesh,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_bangladesh,yes,yes,yes
Innsaei,74074,"Innsaei Pure Radiance Body Oil 150ml",bangladesh,bangladesh,Korea,Bangladesh,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_bangladesh,yes,yes,yes
Innsaei,74076,"Innsaei Hyaluronic Sunscreen 50ml",bangladesh,bangladesh,Korea,Bangladesh,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_bangladesh,yes,yes,yes
Innsaei,74078,"Innsaei Lightweight UV Sunscreen 50ml",bangladesh,bangladesh,Korea,Bangladesh,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_bangladesh,yes,yes,yes
Innsaei,74080,"Innsaei Salicylic Acid Acne Solution Cleansing Foam 150ml",bangladesh,bangladesh,Korea,Bangladesh,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_bangladesh,yes,yes,yes
Innsaei,74082,"Innsaei Low Ph Daily Gel Cleanser 5.5 150ml",bangladesh,bangladesh,Korea,Bangladesh,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_bangladesh,yes,yes,yes
Insight,74557,"Insight Super Kajal",india,india,Korea,India,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_india,yes,yes,yes
Insight,74559,"insight 4x intense kohl kajal",india,india,Korea,India,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_india,yes,yes,yes
Insight,74561,"Insight Super Stay Lipstick-20 Valencia",india,india,Korea,India,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_india,yes,yes,yes
Insight,74563,"Insight Super Stay Lipstick-19 Odette",india,india,Korea,India,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_india,yes,yes,yes
Insight,74565,"Insight Super Stay Lipstick-05 Nyra",india,india,Korea,India,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_india,yes,yes,yes
Insight,74567,"Insight Cosmetics Beauty Blender Sponge Applicator -Pink",india,india,Korea,India,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_india,yes,yes,yes
Insight,74569,"Insight Cosmetics Beauty Blender Sponge Applicator -Orange",india,india,Korea,India,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_india,yes,yes,yes
Insight,74571,"Insight HD Conceal.Correct.Contour -Medium Skin",india,india,Korea,India,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_india,yes,yes,yes
Insight,74573,"Insight Mineralized Compact Powder-MNY30",india,india,Korea,India,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_india,yes,yes,yes
Insight,74575,"Insight Eyebrow Pallet",india,india,Korea,India,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_india,yes,yes,yes
Insight,74577,"Insight Cream Blusher-01",india,india,Korea,India,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_india,yes,yes,yes
Insight,74579,"Insight Cream Blusher-04 (Watermelon Popsicle)",india,india,Korea,India,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_india,yes,yes,yes
Insight,74581,"Insight All Love Eyes on you Eyeshadow Pallet",india,india,Korea,India,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_india,yes,yes,yes
Insight,74583,"Insight Ultrathin Foundation-LN13",india,india,Korea,India,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_india,yes,yes,yes
Insight,74585,"Insight Ultrathin Foundation-LN15",india,india,Korea,India,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_india,yes,yes,yes
Insight,74587,"Insight HD Finishing Lose Powder-Light-11",india,india,Korea,India,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_india,yes,yes,yes
Insight,74589,"Insight Pro Concealer Palette",india,india,Korea,India,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_india,yes,yes,yes
Insight,74591,"Insight HD Concealer-Golden Russet",india,india,Korea,India,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_india,yes,yes,yes
Insight,74593,"Insight HD Concealer-Porcelain-05",india,india,Korea,India,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_india,yes,yes,yes
Insight,74595,"Insight HD Concealer-Orange-09",india,india,Korea,India,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_india,yes,yes,yes
Insight,74597,"Insight Intense Kohl Kajal (Nude)",india,india,Korea,India,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_india,yes,yes,yes
Insight,74599,"Insight Lash Extension Mascara",india,india,Korea,India,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_india,yes,yes,yes
Insight,74601,"Insight Ultra Curl mascara",india,india,Korea,India,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_india,yes,yes,yes
Insight,74603,"Insight Waterproof Matte Eyeliner",india,india,Korea,India,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_india,yes,yes,yes
Insight,74605,"Insight make Up Fixer Spray",india,india,Korea,India,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_india,yes,yes,yes
Insight,74607,"Insight 3 In 1 Oil Free Primer",india,india,Korea,India,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_india,yes,yes,yes
J.cat,74611,"J.Cat Beauty Indense Mineral Compact Powder (Bare Skin 103)",usa,usa,Korea,USA,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_usa,yes,yes,yes
Jamaican,63599,"Jamaican Black Castor Oil (Coconut) 118ml",usa,usa,Korea,USA,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_usa,yes,yes,yes
Jamaican-mango,63005,"Jamaican Mango &#038; Lime Black Castor Oil Xtra Dark 118ml",usa,usa,Korea,USA,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_usa,yes,yes,yes
Karite,74618,"Karite Bubble Pink Mud Mask 5ml",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
Keli,74620,"KELI Eyebrow Razor (5pcs Mini Types) Set",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
Keli,74622,"KELI Compressed Sheet Mask (Chocolate Mask) 01 Pcs",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
Kikumasamune,74624,"Kikumasamune Sake Skin Care Lotion High Moist 500ml",japan,japan,Korea,Japan,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_japan,yes,yes,yes
Kikumasamune,74626,"Kikumasamune Sake Skin Care Lotion Bright Moist 500ml",japan,japan,Korea,Japan,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_japan,yes,yes,yes
"Kiss Beauty",74628,"Kiss Beauty Bling Bling Liquid Highlighter #03",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
"Kiss Beauty",74630,"Kiss Beauty Bling Bling Liquid Highlighter #01 40ml",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
"Kiss Beauty",74632,"Kiss Beauty 3d Eyebrow Styling Soap 10g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
Kodomo,74634,"Kodomo Lotion Powder 180 ml",thailand,thailand,Korea,Thailand,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_thailand,yes,yes,yes
Kodomo,74636,"Kodomo Baby Bath 100ml",thailand,thailand,Korea,Thailand,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_thailand,yes,yes,yes
Kodomo,74638,"Kodomo Baby Cream 50g",thailand,thailand,Korea,Thailand,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_thailand,yes,yes,yes
"Kojie San",58671,"Kojie san skin lightening soap 65gm x3",philippines,philippines,Korea,Philippines,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_philippines,yes,yes,yes
"Kojie San",58719,"Kojie san skin lightening soap 65gm 1 PCS",philippines,philippines,Korea,Philippines,sync_custom_origin|sync_structured_description,custom_origin_south-korea_vs_philippines,yes,yes,no
"Kojie San",74645,"Kojie San Facial Beauty Soap Single Bar 65g (1 Piece)",philippines,philippines,Korea,Philippines,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_philippines,yes,yes,yes
"Kojie San",74649,"Kojie San Facial Beauty Soap 3 Bars Per Pack (65gX3)",philippines,philippines,Korea,Philippines,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_philippines,yes,yes,yes
Kose,50639,"Kose Suncut UV Perfect Gel Super Water Proof SPF 50+ PA++++ 100 ml",japan,japan,Korea,Japan,sync_custom_origin,custom_origin_south-korea_vs_japan,yes,no,no
Kose,57866,"KOSE SOFTYMO Speedy Cleansing Oil 230ml",japan,japan,Korea,Japan,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_japan,yes,no,yes
Kose,62801,"Kose Softymo Speedy Cleansing Liquid 240ml",japan,japan,Korea,Japan,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_japan,yes,no,yes
Kose,74640,"Kose Cosmeport Softymo Hyaluronic Acid Cleansing Foam 150g",japan,japan,Korea,Japan,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_japan,yes,no,yes
Kose,74642,"Kose Suncut Tone Up UV Spray SPF50+ PA++++ 60g",japan,japan,Korea,Japan,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_japan,yes,no,yes
Kose,74647,"Kose Moisture Whitening Cream 55g",japan,japan,Korea,Japan,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_japan,yes,no,yes
Kota,74661,"Kota Double Care Keratin Hair Treatment 250ml",thailand,thailand,Korea,Thailand,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_thailand,yes,yes,yes
"Kota Cosmetics",74651,"Kota Cosmetics Hair Color &#8211; Metal",thailand,thailand,Korea,Thailand,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_thailand,yes,yes,yes
"Kota Cosmetics",74653,"Kota Cosmetics Hair Color &#8211; Tortilla",thailand,thailand,Korea,Thailand,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_thailand,yes,yes,yes
"Kota Cosmetics",74655,"Kota Cosmetics Hair Color &#8211; Mellow",thailand,thailand,Korea,Thailand,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_thailand,yes,yes,yes
"Kota Cosmetics",74657,"Kota Cosmetics Hair Color &#8211; Sepia",thailand,thailand,Korea,Thailand,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_thailand,yes,yes,yes
"Kota Cosmetics",74659,"Kota Cosmetics Hair Color &#8211; Whisper",thailand,thailand,Korea,Thailand,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_thailand,yes,yes,yes
"Kota Cosmetics",74668,"Kota Cosmetics Hair Color &#8211; Tortilla",thailand,thailand,Korea,Thailand,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_thailand,yes,yes,yes
"Kota Cosmetics",74669,"Kota Cosmetics Hair Color &#8211; Mellow",thailand,thailand,Korea,Thailand,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_thailand,yes,yes,yes
L'Oreal,36789,"Loreal Men Expert Hydra Energetic Moisturiser 50ml",france,france,Korea,France,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_france,yes,no,yes
L'Oreal,61822,"Loreal Elvive Hydra Hyaluronic Moisture Plump Hair Serum 150ml",france,france,Korea,France,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_france,yes,no,yes
L'Oreal,61824,"LOreal Elvive Hydra Hyaluronic Moisture Wrapping Mask 300ml",france,france,Korea,France,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_france,yes,no,yes
L'Oreal,61826,"LOreal Elvive Hydra Hyaluronic 8 Sceond Wonder Water Lamellar Conditioner 200ml",france,france,Korea,France,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_france,yes,no,yes
L'Oreal,74663,"L&#8217;oreal Paris Revitalift Triple Power Anti Aging Moisturizer 48g",france,france,Korea,France,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_france,yes,no,yes
L'Oreal,74665,"Loreal Paris Men Expert Pure Carbon Anti Blackhead Daily Face Scrub 100ml",france,france,Korea,France,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_france,yes,no,yes
L'Oreal,74667,"Loreal Elvive Colour Protect Purple Revive Oil 100ml",france,france,Korea,France,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_france,yes,no,yes
L'Oreal,74671,"Loreal Serie Expert Vitamino Color Resveratrol Professional Hair Mask 250g",france,france,Korea,France,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_france,yes,yes,yes
L'Oreal,74673,"Loreal Paris Elvive Colour Protect Anti-Brassiness Purple Conditioner",france,france,Korea,France,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_france,yes,no,yes
"L.A. Girl",74675,"LA Girl Brow Pomade Long-lasting Gel Formula Soft Black GPB 366",usa,usa,Korea,USA,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_usa,yes,yes,yes
"L.A. Girl",74677,"L. A. Girl Pro Matte Foundation Nude GLM716",usa,usa,Korea,USA,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_usa,yes,yes,yes
"L.A. Girl",74679,"L.A. Girl Pro Matte Foundation Glm671 Ivory",usa,usa,Korea,USA,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_usa,yes,yes,yes
"L.A. Girl",74681,"L.A. Girl Pro Matte Liquid Foundation GLM715(Porcelain) 30ml",usa,usa,Korea,USA,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_usa,no,no,yes
"L.A. Girl",74686,"LA Girl Brow Pomade Long-lasting Gel Formula Soft Black GPB 366",usa,usa,Korea,USA,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_usa,yes,yes,yes
"L.A. Girl",74687,"L. A. Girl Pro Matte Foundation Nude GLM716",usa,usa,Korea,USA,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_usa,yes,yes,yes
LAIKOU,74128,"Japanese Cherry Blossom Daily Nourishing Body Lotion 88ml",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
LAIKOU,74717,"LAIKOU Sakura Mud Mask 5g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
LAIKOU,74719,"LAIKOU Matcha Sleeping Face Mask",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
LAIKOU,74721,"LAIKOU Seaweed Sleeping Face Mask 3g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
LAIKOU,74723,"LAIKOU Sleeping Face Mask 3g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
LAIKOU,74725,"LAIKOU Matcha Mud Mask 5g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
